WELLNAME=Testwell
STDEP  =  190.0000  
ENDEP  =  248.5000  
LEVEL  =  0.1250  
CURNAMES  CAL  DT  GR  LLD  LLS  MSFL  NPHI  RHOB  SP

#DEPTH    CAL      DT        GR        LLD      LLS      MSFL    NPHI    RHOB    SP    
200.2500  16.6150  101.9530  83.5740  9.8030  4.5940  3.6700  0.3060  2.4490  -14.1990  
200.3750  16.6160  101.9880  81.9430  8.7400  4.5520  3.8570  0.3080  2.4530  -13.9200  
200.5000  16.6210  100.9270  82.2190  9.4690  4.5720  4.1760  0.3090  2.4540  -14.1270  
200.6250  16.6050  99.7740  83.4960  10.6990  4.6600  4.2200  0.3120  2.4530  -15.0150  
200.7500  16.5660  99.9790  86.6740  7.9110  4.7670  3.7560  0.3060  2.4450  -14.1440  
200.8750  16.5050  96.2270  93.4870  11.3940  4.8320  3.1460  0.3100  2.4570  -14.0550  
201.0000  16.4760  95.7790  97.7600  10.0770  4.8560  3.4360  0.3030  2.4600  -14.6460  
201.1250  16.4390  98.2890  101.5010  7.0810  4.8270  3.7190  0.2940  2.4590  -14.8110  
201.2500  16.3880  101.6930  105.4450  7.4340  4.7450  2.2300  0.2890  2.4570  -14.4020  
201.3750  16.3740  103.4960  106.7210  14.6510  4.6200  1.9800  0.2820  2.4410  -14.8130  
201.5000  16.3490  103.2910  105.3370  10.1560  4.4880  1.9800  0.2920  2.4380  -15.5820  
201.6250  16.3330  103.2500  101.1590  7.5320  4.5020  2.6050  0.3030  2.4390  -15.4470  
201.7500  16.3210  102.0560  95.8410  9.9550  4.5550  4.7850  0.3120  2.4560  -15.4130  
201.8750  16.3130  100.6010  91.6360  12.6040  4.5860  3.6810  0.3210  2.4770  -15.7460  
202.0000  16.3180  100.6340  90.0550  9.9930  4.5510  3.9680  0.3300  2.4820  -16.1520  
202.1250  16.3560  103.2990  89.1320  8.0330  4.3560  4.5890  0.3260  2.4810  -15.5820  
202.2500  16.3360  105.0170  88.2570  9.2990  4.4720  4.2430  0.3310  2.4810  -15.8650  
202.3750  16.3280  103.6920  87.4570  8.1550  4.5460  2.9550  0.3310  2.4810  -16.6380  
202.5000  16.3220  101.8760  86.5640  7.6650  4.5820  3.1860  0.3260  2.4820  -16.4020  
202.6250  16.3130  101.0150  85.3610  9.3810  4.6630  4.6730  0.3170  2.4840  -15.4360  
202.7500  16.3120  100.4970  83.6960  11.7960  4.8930  4.9250  0.3040  2.4860  -15.9140  
202.8750  16.2990  97.8320  82.5680  9.6390  5.0290  5.0040  0.2760  2.4900  -16.7350  
203.0000  16.3180  97.5450  82.4600  11.6180  5.1520  4.9980  0.2620  2.4950  -16.4500  
203.1250  16.3280  97.8120  81.5630  11.2140  5.2040  5.0430  0.2670  2.5010  -16.2500  
203.2500  16.3280  97.8400  80.2250  10.0290  5.1910  5.0120  0.2790  2.5030  -16.3500  
203.3750  16.3260  97.3070  79.2790  11.5000  5.1470  4.9090  0.2860  2.4990  -16.6410  
203.5000  16.3130  96.1790  78.7150  16.0360  5.1140  5.1750  0.2900  2.5020  -17.1030  
203.6250  16.3130  96.3200  83.1280  11.1520  5.1070  5.7000  0.2650  2.5050  -17.3200  
203.7500  16.3130  95.3230  86.1400  11.4220  5.1800  5.4290  0.2510  2.5130  -17.0750  
203.8750  16.2990  94.5200  86.8390  11.7470  5.2190  5.7190  0.2450  2.5150  -17.5270  
204.0000  16.2930  94.5560  85.1460  9.5620  5.1920  6.1090  0.2450  2.5150  -18.1650  
204.1250  16.3270  95.2290  81.9830  6.5890  5.1510  5.4280  0.2460  2.5230  -17.3670  
204.2500  16.3140  96.6130  83.4180  12.1250  5.1170  5.0020  0.2660  2.5120  -17.4700  
204.3750  16.3020  98.6550  84.6780  10.4020  5.1100  4.7020  0.2840  2.4980  -17.8130  
204.5000  16.3130  100.5800  84.9290  11.4410  5.0660  4.4080  0.2980  2.4770  -17.6920  
204.6250  16.3280  101.5820  85.5210  12.1170  4.9890  4.4330  0.3040  2.4600  -17.5600  
204.7500  16.3200  101.7750  87.2750  9.1490  4.8990  4.7080  0.3010  2.4590  -17.7270  
204.8750  16.2820  103.1590  88.6590  6.3060  4.8200  4.5060  0.3070  2.4600  -17.5350  
205.0000  16.3060  101.8320  91.6990  10.4470  4.7950  4.3080  0.3050  2.4740  -17.8320  
205.1250  16.2830  99.5520  90.3730  10.7400  4.7860  4.6320  0.3120  2.4850  -17.9450  
205.2500  16.2790  98.0420  88.3210  8.2970  4.8500  6.1020  0.3050  2.4920  -17.6360  
205.3750  16.2970  97.3280  86.9660  7.2760  4.9490  5.6600  0.2940  2.4940  -17.3180  
205.5000  16.2970  96.3220  85.7950  11.4820  5.0150  4.8650  0.2980  2.4890  -17.6490  
205.6250  16.2970  94.5790  83.7960  12.0520  5.2040  4.6950  0.2860  2.4810  -18.1870  
205.7500  16.2060  100.8040  82.7480  9.7690  5.3070  4.8510  0.2830  2.4780  -17.3450  
205.8750  16.2140  100.3910  85.2620  11.9480  5.3810  4.7350  0.2750  2.4720  -17.3740  
206.0000  16.2390  97.6350  88.7420  12.4640  5.4510  4.6240  0.2660  2.4640  -17.5960  
206.1250  16.2070  96.7690  90.9420  9.0240  5.4850  4.9490  0.2650  2.4540  -17.2990  
206.2500  16.1560  95.7740  92.0460  9.6470  5.3710  5.1260  0.2790  2.4450  -16.6910  
206.3750  16.1560  99.5160  89.3800  11.6360  4.7940  4.6470  0.2980  2.4510  -17.2550  
206.5000  16.1660  104.6300  87.4000  7.8130  4.3740  3.8820  0.3270  2.4450  -16.7290  
206.6250  16.1720  110.3770  86.4500  8.2120  4.0470  2.2180  0.3570  2.4170  -16.6080  
206.7500  16.1670  112.8560  85.9820  10.5240  3.8180  2.1820  0.3780  2.3760  -16.8570  
206.8750  16.1580  109.0430  85.8040  8.7140  3.7250  1.0540  0.3840  2.3420  -16.8130  
207.0000  16.1710  106.4800  89.5970  10.4980  3.8040  1.8090  0.3680  2.3380  -16.8130  
207.1250  16.2070  107.3700  92.1770  10.2210  3.9040  3.3130  0.3350  2.3780  -17.1390  
207.2500  16.4580  104.9160  93.4690  8.5960  3.9610  3.1150  0.3150  2.4080  -17.2150  
207.3750  16.8950  104.6370  92.4960  8.7160  4.0330  2.4930  0.3110  2.4090  -17.5020  
207.5000  17.1030  109.2830  90.0660  9.4330  4.0830  2.4940  0.3220  2.3870  -17.8830  
207.6250  16.3570  115.6830  89.1130  4.7200  3.9510  1.4600  0.3380  2.3630  -17.4500  
207.7500  16.2930  117.4260  88.7540  8.1030  3.9410  1.7470  0.3440  2.3570  -17.8080  
207.8750  16.3230  112.4070  90.6910  10.9220  4.0200  1.7000  0.3420  2.3850  -18.2920  
208.0000  16.6560  107.4310  90.2230  9.1420  4.0690  3.4350  0.3320  2.4160  -18.1950  
208.1250  16.8830  103.1500  89.0920  8.1620  4.1020  4.3010  0.3180  2.4440  -17.9140  
208.2500  16.6280  98.4220  89.7750  12.5840  4.1640  4.4300  0.3060  2.4710  -18.0800  
208.3750  16.4490  94.7310  88.3400  11.7460  4.2170  4.1830  0.3000  2.4900  -18.5930  
208.5000  16.6180  98.0560  92.3830  6.6840  4.1710  4.2530  0.3020  2.4910  -18.3250  
208.6250  16.6070  100.7450  94.7300  9.8890  4.1770  3.8430  0.3110  2.4880  -18.3820  
208.7500  16.5690  101.4140  96.7030  11.9500  4.2370  2.7450  0.3250  2.4780  -18.6120  
208.8750  16.5890  101.0370  97.2320  9.4770  4.3460  3.8360  0.3380  2.4700  -18.8540  
209.0000  16.6220  101.7880  93.1250  7.2800  4.4970  4.3900  0.3440  2.4750  -19.0530  
209.1250  16.5710  98.3020  92.1000  10.3150  4.6040  4.4600  0.3430  2.4850  -19.1560  
209.2500  16.6060  95.8520  91.6790  9.7150  4.7200  4.6640  0.3370  2.4990  -19.1290  
209.3750  16.5770  95.0000  92.6790  7.5480  4.8040  4.7230  0.3290  2.5080  -19.5160  
209.5000  16.5620  94.6690  94.9070  7.7560  4.8330  4.7260  0.3220  2.5140  -19.8240  
209.6250  16.6180  93.9430  96.9950  11.1910  4.8310  4.6000  0.3170  2.5170  -19.6470  
209.7500  16.5790  93.6360  95.6110  9.8430  4.9130  4.7410  0.3110  2.5220  -19.5960  
209.8750  16.5780  94.6140  97.8870  9.2750  4.9180  4.8120  0.3200  2.5180  -19.7300  
210.0000  16.6070  95.2570  95.3660  9.8470  4.9440  4.5210  0.3150  2.5160  -20.0710  
210.1250  16.5980  95.4730  92.9160  9.8050  4.9520  4.4670  0.3130  2.5060  -19.9760  
210.2500  16.5470  95.5160  91.9030  10.3930  4.9600  4.5730  0.3130  2.4950  -19.5390  
210.3750  16.4990  95.6690  90.5880  13.9720  5.0280  4.7570  0.3030  2.4980  -19.4110  
210.5000  16.4860  94.7460  89.4610  12.8840  5.1500  5.0000  0.2990  2.4960  -19.8210  
210.6250  16.4730  93.9120  89.9800  14.8250  5.2430  5.2450  0.2930  2.4990  -19.6970  
210.7500  16.4440  92.9590  91.0160  13.3980  5.3170  5.5380  0.2930  2.5010  -19.4920  
210.8750  16.4270  92.6400  91.7760  12.3220  5.3930  5.5120  0.2960  2.5020  -19.5740  
211.0000  16.4400  93.3850  92.4250  13.7670  5.4800  5.2570  0.2980  2.5070  -19.9270  
211.1250  16.4530  94.6150  94.7310  12.6850  5.5590  5.2620  0.2980  2.5130  -19.8750  
211.2500  16.4280  94.3200  93.9870  10.2970  5.5600  5.1010  0.2960  2.5080  -19.7220  
211.3750  16.4020  95.0820  95.1590  12.9190  5.5180  4.7130  0.3100  2.5110  -20.0840  
211.5000  16.4260  95.0800  94.8020  14.4130  5.4750  4.5060  0.3170  2.5120  -20.2840  
211.6250  16.4600  94.5860  93.2490  13.2170  5.4030  4.2110  0.3240  2.5100  -20.1810  
211.7500  16.4350  94.9250  92.6850  11.2770  5.2400  3.9870  0.3440  2.5020  -20.0180  
211.8750  16.4090  95.8990  92.1210  12.6550  4.9500  3.9760  0.3370  2.4800  -20.1710  
212.0000  16.3950  102.7970  88.1130  9.7060  4.7970  3.0260  0.3330  2.4270  -20.0960  
212.1250  16.4080  107.1580  85.9590  9.8530  4.6660  1.1270  0.3370  2.3710  -19.9580  
212.2500  16.3870  106.7880  84.1080  10.4330  4.6410  1.3090  0.3430  2.3350  -19.8050  
212.3750  16.3190  102.5500  82.8190  10.0740  4.7530  2.2170  0.3470  2.3400  -19.6750  
212.5000  16.2800  97.9080  86.2150  11.5460  4.9280  3.6420  0.3460  2.3950  -19.6240  
212.6250  16.2160  86.5790  87.6500  10.6990  5.1550  7.0260  0.2900  2.4700  -19.5730  
212.7500  16.2540  81.8110  89.8650  11.6220  5.4010  8.1330  0.2590  2.5220  -19.7270  
212.8750  16.2890  81.1550  89.2380  11.1790  5.7010  6.8040  0.2350  2.5440  -19.8130  
213.0000  16.3110  82.3200  87.3820  11.6810  5.9940  6.2510  0.2200  2.5460  -19.6830  
213.1250  16.3460  83.7980  87.0820  15.1060  6.2010  7.1750  0.2180  2.5430  -19.3970  
213.2500  16.3580  86.7710  85.9030  12.1850  6.3300  7.8070  0.2170  2.5350  -19.5510  
213.3750  16.3710  90.3130  87.6110  13.5890  6.4680  5.6430  0.2290  2.5310  -19.6570  
213.5000  16.3750  91.6640  87.7540  14.4300  6.4550  5.5160  0.2400  2.5190  -19.1820  
213.6250  16.3870  93.2670  88.5810  12.6630  6.3280  5.4740  0.2490  2.5090  -18.8870  
213.7500  16.3990  95.5790  90.7070  10.4870  6.1390  5.1710  0.2570  2.5050  -18.9590  
213.8750  16.3770  96.3720  92.1130  13.5430  5.9240  4.7360  0.2660  2.5070  -18.8030  
214.0000  16.4150  97.6530  91.8570  13.1010  5.6200  4.6320  0.2890  2.5030  -18.5980  
214.1250  16.4110  99.6560  91.3880  8.9620  5.3660  4.5520  0.3040  2.5000  -18.2660  
214.2500  16.3910  100.1880  92.4030  8.9980  5.1760  4.3540  0.3200  2.4930  -17.8450  
214.3750  16.3800  99.4370  92.7680  10.6060  5.0740  4.4730  0.3260  2.4860  -17.6220  
214.5000  16.3930  98.1700  90.8940  9.8590  5.0710  4.6130  0.3120  2.4830  -17.7590  
214.6250  16.4060  96.2220  90.6380  10.0570  5.1330  5.0040  0.3000  2.4840  -17.8100  
214.7500  16.3450  92.4230  85.1690  10.0370  5.3400  6.2400  0.2630  2.4970  -17.1300  
214.8750  16.3470  89.2010  83.4380  10.6530  5.6210  6.7690  0.2350  2.5050  -17.0500  
215.0000  16.3400  86.3070  81.6330  11.8870  5.9810  7.5140  0.2150  2.5180  -17.2300  
215.1250  16.2970  83.4720  78.9370  13.3000  6.4060  7.9540  0.2000  2.5330  -17.1800  
215.2500  16.2510  80.6010  77.7240  14.4120  6.8590  8.1520  0.1880  2.5420  -16.5850  
215.3750  16.2640  77.7310  77.3650  17.3690  7.3030  11.1090  0.1800  2.5510  -16.8930  
215.5000  16.2000  77.5310  76.2610  15.3050  7.3580  10.3890  0.1680  2.5480  -16.3680  
